time,temperature_mean,temperature_p50,temperature_p95,precipitation_sum,wind_speed_mean,wind_direction_mean,air_pressure,pm10_mean,pm10_p95,pm2_5_mean,pm2_5_p95,uv_index_max,ozone_mean,carbon_monoxide_mean,qa_flags
2024-01-01 00:00:00+07:00,28.17,28.0,32.0,0.0,6.17,293.52,1011.33,52.43,87.51,34.96,58.87,7.65,61.67,594.5,
2024-01-02 00:00:00+07:00,28.58,28.0,33.0,0.0,6.28,345.7,1010.88,63.3,79.61,42.19,53.08,6.15,63.46,644.75,
2024-01-03 00:00:00+07:00,28.62,28.0,32.85,0.0,7.07,310.6,1010.88,46.87,57.68,30.86,39.38,7.3,61.29,545.46,
2024-01-04 00:00:00+07:00,28.17,28.0,32.0,0.0,6.84,329.83,1011.38,43.51,57.0,28.62,36.58,8.35,73.83,520.33,
2024-01-05 00:00:00+07:00,27.67,28.0,30.85,0.0,5.05,341.53,1012.25,40.06,48.06,26.06,31.26,7.5,70.67,507.79,
2024-01-06 00:00:00+07:00,28.67,28.0,33.0,0.3,6.08,13.61,1011.71,54.92,75.34,36.09,48.87,8.0,73.83,643.38,
2024-01-07 00:00:00+07:00,28.83,28.0,33.85,0.0,6.92,143.73,1012.17,40.75,52.14,26.42,32.74,8.3,70.54,514.79,
2024-01-08 00:00:00+07:00,28.58,28.5,32.0,0.0,5.03,82.68,1012.08,40.99,70.45,26.35,46.21,5.65,56.58,516.21,
2024-01-09 00:00:00+07:00,28.83,28.0,33.0,0.0,7.34,88.74,1011.21,40.29,53.78,25.64,34.18,8.45,69.38,437.42,
2024-01-10 00:00:00+07:00,29.29,29.0,33.85,0.0,9.02,121.05,1010.62,37.97,65.06,24.4,43.15,6.8,68.83,368.25,
2024-01-11 00:00:00+07:00,28.5,28.0,33.0,0.0,7.9,121.11,1011.12,35.5,64.65,23.34,42.49,7.7,76.0,408.33,
2024-01-12 00:00:00+07:00,27.54,27.5,32.0,0.0,7.9,125.42,1011.08,39.8,57.48,25.6,37.6,7.7,86.67,460.38,
2024-01-13 00:00:00+07:00,27.12,27.0,31.0,0.0,5.08,69.39,1011.29,46.5,70.23,30.01,45.76,7.8,82.58,556.38,
2024-01-14 00:00:00+07:00,27.33,27.0,32.0,0.0,5.28,359.59,1011.96,55.48,84.76,36.94,56.67,8.5,85.92,679.96,
2024-01-15 00:00:00+07:00,27.75,28.0,33.0,0.0,6.77,38.39,1011.54,50.55,59.58,33.66,39.87,9.3,70.88,644.33,
2024-01-16 00:00:00+07:00,28.25,28.0,33.0,0.0,6.27,44.96,1011.29,46.15,60.95,30.42,39.0,9.9,64.25,650.83,
