time,pressure_mean,pressure_std,qa_flags
2024-01-07 00:00:00+07:00,1011.51,0.56,
2024-01-14 00:00:00+07:00,1011.34,0.51,
2024-01-21 00:00:00+07:00,1011.35,0.57,
2024-01-28 00:00:00+07:00,1014.55,1.32,
2024-02-04 00:00:00+07:00,1013.98,0.46,
2024-02-11 00:00:00+07:00,1013.87,1.33,
2024-02-18 00:00:00+07:00,1013.15,1.26,
2024-02-25 00:00:00+07:00,1012.09,0.43,
2024-03-03 00:00:00+07:00,1010.99,0.49,
2024-03-10 00:00:00+07:00,1010.21,1.23,
2024-03-17 00:00:00+07:00,1012.27,0.36,
2024-03-24 00:00:00+07:00,1010.85,1.12,
2024-03-31 00:00:00+07:00,1011.81,0.57,
2024-04-07 00:00:00+07:00,1008.93,0.48,
2024-04-14 00:00:00+07:00,1009.68,0.55,
2024-04-21 00:00:00+07:00,1008.46,1.34,
2024-04-28 00:00:00+07:00,1007.33,0.44,
2024-05-05 00:00:00+07:00,1007.14,0.92,
2024-05-12 00:00:00+07:00,1009.18,0.55,
2024-05-19 00:00:00+07:00,1008.13,1.32,
2024-05-26 00:00:00+07:00,1007.51,0.87,
2024-06-02 00:00:00+07:00,1008.18,1.53,
2024-06-09 00:00:00+07:00,1008.36,0.86,
2024-06-16 00:00:00+07:00,1008.39,1.7,
2024-06-23 00:00:00+07:00,1006.35,1.03,
2024-06-30 00:00:00+07:00,1008.38,0.87,
2024-07-07 00:00:00+07:00,1007.69,1.33,
2024-07-14 00:00:00+07:00,1007.35,1.68,
2024-07-21 00:00:00+07:00,1006.56,1.04,
2024-07-28 00:00:00+07:00,1006.68,1.21,
2024-08-04 00:00:00+07:00,1009.15,1.02,
2024-08-11 00:00:00+07:00,1007.87,1.06,
2024-08-18 00:00:00+07:00,1007.34,0.74,
2024-08-25 00:00:00+07:00,1009.2,0.72,
2024-09-01 00:00:00+07:00,1008.64,0.34,MISSING-1
2024-09-08 00:00:00+07:00,1007.05,1.74,MISSING-1
2024-09-15 00:00:00+07:00,1006.49,1.26,
2024-09-22 00:00:00+07:00,1003.98,2.27,
2024-09-29 00:00:00+07:00,1009.31,0.57,
2024-10-06 00:00:00+07:00,1008.82,1.13,
2024-10-13 00:00:00+07:00,1009.18,0.74,
2024-10-20 00:00:00+07:00,1009.6,0.78,
2024-10-27 00:00:00+07:00,1007.42,1.73,
2024-11-03 00:00:00+07:00,1008.21,1.41,
2024-11-10 00:00:00+07:00,1010.15,0.29,
2024-11-17 00:00:00+07:00,1008.52,0.37,
2024-11-24 00:00:00+07:00,1008.66,0.48,
2024-12-01 00:00:00+07:00,1008.84,0.76,
2024-12-08 00:00:00+07:00,1008.14,0.88,
2024-12-15 00:00:00+07:00,1009.14,1.12,MISSING-1
2024-12-22 00:00:00+07:00,1010.43,0.57,
2024-12-29 00:00:00+07:00,1010.94,1.29,
2025-01-05 00:00:00+07:00,1011.02,0.62,
